combination,target,model,r2_score,rmse,mae,n_features,n_samples
Original_Only,Ea_eV,RandomForest,0.7537265628674955,0.12097846348940156,0.07471650878755921,16,655
Original_Only,Ea_eV,GradientBoosting,0.6761498586792243,0.1387302995359631,0.08800818242684327,16,655
Original_Only,Ea_eV,Ridge,0.24285076263085237,0.2121241050981709,0.11963403029896269,16,655
Original_Only,Ea_eV,ElasticNet,0.02197174184777262,0.24108765906888877,0.13798406924343756,16,655
Original_Only,Ea_eV,XGBoost,0.7679115797071652,0.117442696671195,0.07053803924633271,16,655
Original_Only,Ionic_Conductivity,RandomForest,0.22197397679672692,0.2078256001375071,0.01989423123930412,16,655
Original_Only,Ionic_Conductivity,GradientBoosting,0.10183889903888554,0.22329505351602333,0.021780952645804673,16,655
Original_Only,Ionic_Conductivity,Ridge,-0.07445181363742015,0.24422800012582557,0.06057140588786084,16,655
Original_Only,Ionic_Conductivity,ElasticNet,0.015955754285640333,0.23372722061016765,0.04426961571673033,16,655
Original_Only,Ionic_Conductivity,XGBoost,0.28223372828685067,0.19961515253126463,0.021844808848674423,16,655
Mat2vec_Only,Ea_eV,RandomForest,0.3031711217057951,0.203499032513618,0.11886693159463933,200,655
Mat2vec_Only,Ea_eV,GradientBoosting,0.31995039921718493,0.20103402757223662,0.11434554913220538,200,655
Mat2vec_Only,Ea_eV,Ridge,0.05796610132338931,0.23660969951278019,0.12512236078445851,200,655
Mat2vec_Only,Ea_eV,ElasticNet,-0.0014095872273756083,0.24395243141088072,0.1398875515695921,200,655
Mat2vec_Only,Ea_eV,XGBoost,0.321307941316603,0.200833271266246,0.11368760522019372,200,655
Mat2vec_Only,Ionic_Conductivity,RandomForest,-0.022704928786646095,0.23827427460994202,0.03798475331566743,200,655
Mat2vec_Only,Ionic_Conductivity,GradientBoosting,-0.025342658963943165,0.23858135170250133,0.03807326585105589,200,655
Mat2vec_Only,Ionic_Conductivity,Ridge,-0.025615706999172483,0.23861311661171042,0.03848497271621975,200,655
Mat2vec_Only,Ionic_Conductivity,ElasticNet,-0.00027754863723994383,0.23564717741794164,0.03863673789464762,200,655
Mat2vec_Only,Ionic_Conductivity,XGBoost,-0.025320918768297895,0.23857882238573486,0.03804968705153273,200,655
Original_Mat2vec_Combined,Ea_eV,RandomForest,0.7617588077891865,0.11898924403896259,0.07493273035784945,216,655
Original_Mat2vec_Combined,Ea_eV,GradientBoosting,0.6828132167965915,0.13729566335880847,0.08603713824101435,216,655
Original_Mat2vec_Combined,Ea_eV,Ridge,0.16263985906528122,0.22307732118720647,0.11287689705268089,216,655
Original_Mat2vec_Combined,Ea_eV,ElasticNet,0.02197174184777262,0.24108765906888877,0.13798406924343756,216,655
Original_Mat2vec_Combined,Ea_eV,XGBoost,0.8012493715632105,0.1086809769719338,0.0653614675496081,216,655
Original_Mat2vec_Combined,Ionic_Conductivity,RandomForest,0.18784015881866412,0.21233556257946362,0.022231487784401642,216,655
Original_Mat2vec_Combined,Ionic_Conductivity,GradientBoosting,0.09047884695257224,0.22470274798128761,0.024435912991479358,216,655
Original_Mat2vec_Combined,Ionic_Conductivity,Ridge,-0.11358613344226498,0.24863593040645032,0.06271973866127856,216,655
Original_Mat2vec_Combined,Ionic_Conductivity,ElasticNet,0.015955754285640333,0.23372722061016765,0.04426961571673033,216,655
Original_Mat2vec_Combined,Ionic_Conductivity,XGBoost,0.2970152758209843,0.19754904091252112,0.01842231474752453,216,655
